Id,SalePrice
1461,127490.7
1462,155126.16
1463,182368.08
1464,191629.97
1465,187792.2
1466,172950.47
1467,172722.11
1468,171772.03
1469,179629.86
1470,125536.71
1471,217262.08
1472,92824.266
1473,87891.12
1474,148862.06
1475,138519.2
1476,332701.22
1477,257690.39
1478,304965.06
1479,285405.94
1480,333750.66
1481,300375.34
1482,204560.14
1483,159121.5
1484,165765.84
1485,182747.62
1486,203696.16
1487,319317.78
1488,241334.64
1489,223832.67
1490,176996.3
1491,181091.25
1492,86585.73
1493,180761.73
1494,296375.72
1495,294628.25
1496,260488.98
1497,178039.47
1498,158949.92
1499,164583.23
1500,137190.25
1501,176305.31
1502,159439.8
1503,279569.7
1504,264342.62
1505,216347.0
1506,187755.81
1507,228034.69
1508,201632.8
1509,167810.14
1510,155746.67
1511,150032.42
1512,163698.2
1513,138723.12
1514,176510.38
1515,163083.0
1516,134110.78
1517,145426.34
1518,124416.71
1519,220885.25
1520,141760.47
1521,145386.03
1522,173747.61
1523,115722.39
1524,119190.64
1525,140093.11
1526,125332.82
1527,102251.32
1528,128196.766
1529,149881.44
1530,170145.39
1531,106267.27
1532,105352.34
1533,149994.06
1534,118526.27
1535,163682.75
1536,110526.97
1537,79608.555
1538,163904.14
1539,220058.12
1540,101409.86
1541,149697.16
1542,156018.73
1543,237586.81
1544,85186.27
1545,97177.99
1546,122153.87
1547,139108.16
1548,141169.27
1549,119765.125
1550,137914.75
1551,116257.64
1552,129965.55
1553,153730.03
1554,115152.19
1555,181844.86
1556,90116.99
1557,78193.33
1558,76155.49
1559,108854.82
1560,127276.89
1561,132588.39
1562,132634.81
1563,121289.36
1564,154395.94
1565,149277.39
1566,229027.84
1567,87573.69
1568,231716.36
1569,136152.83
1570,124789.914
1571,145163.31
1572,148466.95
1573,246008.38
1574,103721.734
1575,201716.11
1576,206905.86
1577,204538.77
1578,151490.6
1579,140713.8
1580,192776.62
1581,135465.97
1582,128842.85
1583,298036.25
1584,217181.55
1585,141518.1
1586,80354.984
1587,91658.45
1588,151567.62
1589,91566.88
1590,142042.31
1591,111089.38
1592,107526.375
1593,115411.03
1594,127009.57
1595,107628.3
1596,230180.67
1597,187732.75
1598,201407.06
1599,183197.97
1600,182426.44
1601,77675.59
1602,104538.164
1603,76166.61
1604,289661.47
1605,264929.72
1606,182294.58
1607,177202.77
1608,217089.52
1609,199624.55
1610,158138.81
1611,144092.2
1612,160699.2
1613,161576.94
1614,114766.984
1615,87157.0
1616,81748.58
1617,86800.14
1618,125998.72
1619,134916.12
1620,160012.8
1621,145699.6
1622,145663.52
1623,283292.75
1624,208458.3
1625,137066.53
1626,179640.73
1627,194525.86
1628,267800.16
1629,186886.02
1630,292071.44
1631,206513.02
1632,251300.72
1633,173827.61
1634,192862.16
1635,177760.77
1636,160138.39
1637,171386.55
